Target,Prediction,Factor,Factor_type_specific,Tissue,Mutant_specific,Age,Temperature
SRP082180/SRR4034136,1.7408627,H3K9ac,histone acetylation,Whole plant,,,
SRP082180/SRR4034138,1.9568338,H3K9ac,histone acetylation,Whole plant,,,
SRP082180/SRR4034140,2.1107411,H3K9ac,histone acetylation,Whole plant,,,
SRP082180/SRR4034142,1.6092939,H3K9ac,histone acetylation,Whole plant,,,
SRP082180/SRR4039489,0.43073997,H3K27me3,histone methylation,Whole plant,,,
SRP082180/SRR4039492,0.47325683,H3K27me3,histone methylation,Whole plant,,,
SRP082180/SRR4039494,0.48581117,H3K27me3,histone methylation,Whole plant,,,
SRP082180/SRR4039496,0.4114205,H3K27me3,histone methylation,Whole plant,,,
SRP082180/SRR4039498,0.41204506,H3K9me2,histone methylation,Whole plant,,,
SRP082180/SRR4039500,0.54484427,H3K9me2,histone methylation,Whole plant,,,
SRP082180/SRR4039504,0.5182531,H3K9me2,histone methylation,Whole plant,,,
SRP082180/SRR4039507,0.4939832,H3K9me2,histone methylation,Whole plant,,,
